EN,EM,Description,Composition strategy,Attribute
lower rank,⬇️🎖,"[':down_arrow:', ':military_medal:']",Direct,POSITION
center circle,⏺️🏀,"[':record_button:', ':basketball:']",Direct,POSITION
outer boundary,📏🌐,"[':straight_ruler:', ':globe_with_meridians:']",Direct,POSITION
front row,➡️🪑,"[':right_arrow:', ':chair:']",Direct,POSITION
rear exit,⬅️🚪,"[':left_arrow:', ':door:']",Direct,POSITION
plentiful harvest,🧺🍅🍇,"[':basket:', ':tomato:', ':grapes:']",Direct,QUANTITY
scarce resource,🤏💧,"[':pinching_hand:', ':droplet:']",Direct,QUANTITY
abundant stock,📦📦👍,"[':package:', ':package:', ':thumbs_up:']",Direct,QUANTITY
handful seeds,🤏🌱,"[':pinching_hand:', ':seedling:']",Direct,QUANTITY
limited fuel,⛽️❗,"[':fuel_pump:', ':red_exclamation_mark:']",Direct,QUANTITY
generous portion,🍲👌,"[':pot_of_food:', ':OK_hand:']",Direct,QUANTITY
overflowing basket,🧺💦,"[':basket:', ':sweat_droplets:']",Direct,QUANTITY
tiny fraction,🤏🔢,"[':pinching_hand:', ':input_numbers:']",Direct,QUANTITY
logical choice,🧠👉,"[':brain:', ':backhand_index_pointing_right:']",Direct,REASONABLENESS
sensible plan,✔️💡,"[':check_mark:', ':light_bulb:']",Direct,REASONABLENESS
rational approach,📏🧠,"[':straight_ruler:', ':brain:']",Direct,REASONABLENESS
level-headed thought,💭🙂,"[':thought_balloon:', ':slightly_smiling_face:']",Direct,REASONABLENESS
valid reasoning,✅🗯,"[':check_mark_button:', ':right_anger_bubble:']",Direct,REASONABLENESS
sound logic,🔊🤔,"[':speaker_high_volume:', ':thinking_face:']",Direct,REASONABLENESS
pragmatic step,🚶‍♂️🔧,"[':man_walking:', ':wrench:']",Direct,REASONABLENESS
coherent method,🗣✅,"[':speaking_head:', ':check_mark_button:']",Direct,REASONABLENESS
moral truth,🙌📜,"[':raising_hands:', ':scroll:']",Direct,RIGHTNESS
ethical stand,🧍⚖️,"[':person_standing:', ':balance_scale:']",Direct,RIGHTNESS
virtuous path,🌈🚶,"[':rainbow:', ':person_walking:']",Direct,RIGHTNESS
righteous cause,💪🏳️‍🌈,"[':flexed_biceps:', ':rainbow_flag:']",Direct,RIGHTNESS
honest stance,🗣️🤥❌,"[':speaking_head:', ':lying_face:', ':cross_mark:']",Direct,RIGHTNESS
blameless action,👐✔️,"[':open_hands:', ':check_mark:']",Direct,RIGHTNESS
clean conscience,🧠🧼,"[':brain:', ':soap:']",Direct,RIGHTNESS
just deed,🤝⚖️,"[':handshake:', ':balance_scale:']",Direct,RIGHTNESS
giant building,🏢🗼,"[':office_building:', ':Tokyo_tower:']",Direct,SIZE
huge cat,🐈🐘,"[':cat:', ':elephant:']",Direct,SIZE
massive wave,🌊🐋,"[':water_wave:', ':whale:']",Direct,SIZE
big appetite,🍽️🐷,"[':fork_and_knife_with_plate:', ':pig:']",Direct,SIZE
colossal plan,🗺️🌍,"[':world_map:', ':globe_showing_Americas:']",Direct,SIZE
enormous party,🎉🏰,"[':party_popper:', ':castle:']",Direct,SIZE
large crowd,👥👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']",Direct,SIZE
vast forest,🌲🌲🌏,"[':evergreen_tree:', ':evergreen_tree:', ':globe_showing_Americas:']",Direct,SIZE
swift response,⚡📨,"[':high_voltage:', ':incoming_envelope:']",Direct,SPEED
quick dash,🏃‍♂️💨,"[':man_running:', ':dashing_away:']",Direct,SPEED
rapid upgrade,🚀⬆️,"[':rocket:', ':up_arrow:']",Direct,SPEED
fast getaway,🏎️💨,"[':racing_car:', ':dashing_away:']",Direct,SPEED
instant blink,⏱️👀,"[':stopwatch:', ':eyes:']",Direct,SPEED
speedy exit,🏃➡️🚪,"[':person_running:', ':right_arrow:', ':door:']",Direct,SPEED
hasty move,😬➡️,"[':grimacing_face:', ':right_arrow:']",Direct,SPEED
accelerated start,⏭️🔛,"[':next_track_button:', ':ON_arrow:']",Direct,SPEED
mighty punch,👊💥,"[':oncoming_fist:', ':collision:']",Direct,STRENGTH
sturdy build,🏋️‍♂️🏠,"[':man_lifting_weights:', ':house:']",Direct,STRENGTH
robust shield,🛡️💪,"[':shield:', ':flexed_biceps:']",Direct,STRENGTH
tough barrier,💥🧱,"[':collision:', ':brick:']",Direct,STRENGTH
powerful force,🚧🔥,"[':construction:', ':fire:']",Direct,STRENGTH
solid grip,🤝🧱,"[':handshake:', ':brick:']",Direct,STRENGTH
strong trunk,🌳💪,"[':deciduous_tree:', ':flexed_biceps:']",Direct,STRENGTH
ironclad bond,⛓️🤜🤛,"[':chains:', ':right_facing_fist:', ':left_facing_fist:']",Direct,STRENGTH
ample funds,💰🙆,"[':money_bag:', ':person_gesturing_OK:']",Direct,SUFFICIENCY
enough supplies,📦😀,"[':package:', ':grinning_face:']",Direct,SUFFICIENCY
adequate stock,✅🧺,"[':check_mark_button:', ':basket:']",Direct,SUFFICIENCY
satisfactory portion,🥧😋,"[':pie:', ':face_savoring_food:']",Direct,SUFFICIENCY
plenty of time,⌚🙆‍♂️,"[':watch:', ':man_gesturing_OK:']",Direct,SUFFICIENCY
sufficient skill,✅🤓,"[':check_mark_button:', ':nerd_face:']",Direct,SUFFICIENCY
enough workers,👩‍💼👨‍💼✔️,"[':woman_office_worker:', ':man_office_worker:', ':check_mark:']",Direct,SUFFICIENCY
plentiful water,💧🥤,"[':droplet:', ':cup_with_straw:']",Direct,SUFFICIENCY
frozen ground,❄️🌍,"[':snowflake:', ':globe_showing_Americas:']",Direct,TEMPERATURE
lukewarm tea,♨️🍵,"[':hot_springs:', ':teacup_without_handle:']",Direct,TEMPERATURE
steaming coffee,🔥☕,"[':fire:', ':hot_beverage:']",Direct,TEMPERATURE
icy breeze,🧊💨,"[':ice:', ':dashing_away:']",Direct,TEMPERATURE
heated argument,♨️🤬,"[':hot_springs:', ':face_with_symbols_on_mouth:']",Direct,TEMPERATURE
mild climate,🌤️🙂,"[':sun_behind_small_cloud:', ':slightly_smiling_face:']",Direct,TEMPERATURE
sweltering noon,🥵☀️,"[':hot_face:', ':sun:']",Direct,TEMPERATURE
cool midnight,🌌🥶,"[':milky_way:', ':cold_face:']",Direct,TEMPERATURE
dense mist,🌫️📏,"[':fog:', ':straight_ruler:']",Direct,THICKNESS
thick trunk,🌳📏,"[':deciduous_tree:', ':straight_ruler:']",Direct,THICKNESS
heavy fog,🏋️‍♂️🌫️,"[':man_lifting_weights:', ':fog:']",Direct,THICKNESS
bulky sweater,🧶🧥,"[':yarn:', ':coat:']",Direct,THICKNESS
thin sheet,🤏📄,"[':pinching_hand:', ':page_facing_up:']",Direct,THICKNESS
layered coat,🧥🧥,"[':coat:', ':coat:']",Direct,THICKNESS
thick binder,📚🗄️,"[':books:', ':file_cabinet:']",Direct,THICKNESS
fat dictionary,📖🐷,"[':open_book:', ':pig:']",Direct,THICKNESS
helpful tool,🔧😃,"[':wrench:', ':smiley:']",Direct,UTILITY
practical device,🖨️👍,"[':printer:', ':thumbs_up:']",Direct,UTILITY
useful app,📱💡,"[':mobile_phone:', ':light_bulb:']",Direct,UTILITY
beneficial upgrade,💻🍀,"[':laptop:', ':four_leaf_clover:']",Direct,UTILITY
serviceable gadget,🛠️🤖,"[':hammer_and_wrench:', ':robot:']",Direct,UTILITY
handy kit,🧰🙋,"[':toolbox:', ':person_raising_hand:']",Direct,UTILITY
reliable software,🧑‍💻✅,"[':technologist:', ':check_mark_button:']",Direct,UTILITY
convenient platform,🌐🆗,"[':globe_with_meridians:', ':OK_button:']",Direct,UTILITY
broad avenue,↔️🛣,"[':left-right_arrow:', ':motorway:']",Direct,WIDTH
wide river,↔️🌊,"[':left-right_arrow:', ':water_wave:']",Direct,WIDTH
expansive table,↔️🍽,"[':left-right_arrow:', ':fork_and_knife_with_plate:']",Direct,WIDTH
narrow hallway,🤏🏫,"[':pinching_hand:', ':school:']",Direct,WIDTH
spacious field,🌄➡️,"[':sunrise_over_mountains:', ':right_arrow:']",Direct,WIDTH
cramped alley,⬇️↔️,"[':down_arrow:', ':left-right_arrow:']",Direct,WIDTH
wide shoulder,🚶↔️,"[':person_walking:', ':left-right_arrow:']",Direct,WIDTH
broad horizon,🌅📏,"[':sunrise:', ':straight_ruler:']",Direct,WIDTH
