EN,EM,Description,Composition strategy,Attribute
creamy dip,🫕🫕,"[':fondue:', ':fondue:']",Reduplication,CONSISTENCY
profound love,❤️❤️,"[':red_heart:', ':red_heart:']",Reduplication,EMOTIONALITY
high peak,⛰️⛰️,"[':mountain:', ':mountain:']",Reduplication,HEIGHT
big group,👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,SIZE
subconscious drive,🌙🌙,"[':crescent_moon:', ':crescent_moon:']",Reduplication,INWARDNESS
internal reflection,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,INWARDNESS
crucial vote,🗳️🗳️,"[':ballot_box_with_ballot:', ':ballot_box_with_ballot:']",Reduplication,CRITICALITY
high-stakes moment,⏳⏳,"[':hourglass_flowing_sand:', ':hourglass_flowing_sand:']",Reduplication,CRISIS
low possibility,❓❓,"[':question_mark:', ':question_mark:']",Reduplication,DEGREE
excessive force,💪💪,"[':flexed_biceps:', ':flexed_biceps:']",Reduplication,DEGREE
big tipper,🪙🪙,"[':coin:', ':coin:']",Reduplication,GENEROSITY
silent prayer,🙏🙏,"[':folded_hands:', ':folded_hands:']",Reduplication,INWARDNESS
common ground,🌍🌍,"[':globe_showing_europe_africa:', ':globe_showing_europe_africa:']",Reduplication,COMMONNESS
blue sky,🟦🟦,"[':blue_square:', ':blue_square:']",Reduplication,COLOR
thick soup,🫕🫕🫕,"[':fondue:', ':fondue:', ':fondue:']",Reduplication,CONSISTENCY
shimmering reflection,🌅🌅,"[':sunrise:', ':sunrise:']",Reduplication,LUMINOSITY
momentous change,♻️♻️,"[':recycling_symbol:', ':recycling_symbol:']",Reduplication,CRITICALITY
blaring horn,📢📢,"[':loudspeaker:', ':loudspeaker:']",Reduplication,VOLUME
dazzling glare,✨✨,"[':sparkles:', ':sparkles:']",Reduplication,LUMINOSITY
deep architecture,🏛️🏛️,"[':classical_building:', ':classical_building:']",Reduplication,DEPTH
generous gift,🎁🎁,"[':wrapped_gift:', ':wrapped_gift:']",Reduplication,GENEROSITY
urgent operation,🔧🔧,"[':wrench:', ':wrench:']",Reduplication,IMMEDIACY
long separation,↔️↔️,"[':left_right_arrow:', ':left_right_arrow:']",Reduplication,DISTANCE
deep feeling,💓💓,"[':beating_heart:', ':beating_heart:']",Reduplication,DEPTH
golden star,⭐⭐,"[':star:', ':star:']",Reduplication,COLOR
blissful relief,😌😌,"[':relieved_face:', ':relieved_face:']",Reduplication,EMOTIONALITY
paramount decision,⚖️⚖️,"[':balance_scale:', ':balance_scale:']",Reduplication,CRITICALITY
glacial pace,🧊🧊,"[':ice:', ':ice:']",Reduplication,TEMPERATURE
critical code red,🚑🚑,"[':ambulance:', ':ambulance:']",Reduplication,CRISIS
big group,🧑‍🤝‍🧑👫👭👬,"[':people_holding_hands:', ':woman_and_man_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE
multicolor art,🎨🎨,"[':artist_palette:', ':artist_palette:']",Reduplication,COLOR
abundant stock,📦📦,"[':package:', ':package:']",Reduplication,QUANTITY
clear broadcast,📡📡,"[':satellite:', ':satellite:']",Reduplication,CLARITY
completely booked,📖📖,"[':open_book:', ':open_book:']",Reduplication,FULLNESS
dense paste,🧄🧄,"[':garlic:', ':garlic:']",Reduplication,CONSISTENCY
luminous glow,🌕🌕,"[':full_moon:', ':full_moon:']",Reduplication,LUMINOSITY
usual routine,🔄🔄,"[':repeat:', ':repeat:']",Reduplication,COMMONNESS
dire situation,⚠️⚠️,"[':warning:', ':warning:']",Reduplication,CRISIS
bright highlight,📍📍,"[':round_pushpin:', ':round_pushpin:']",Reduplication,LUMINOSITY
bulky package,📦📦,"[':package:', ':package:']",Reduplication,WEIGHT
intense fear,😱😱,"[':face_screaming_in_fear:', ':face_screaming_in_fear:']",Reduplication,EMOTIONALITY
standard approach,🛣️🛣️,"[':motorway:', ':motorway:']",Reduplication,COMMONNESS
philanthropic move,🚀🚀,"[':rocket:', ':rocket:']",Reduplication,GENEROSITY
clear horizon,🌅🌅,"[':sunrise:', ':sunrise:']",Reduplication,CLARITY
common man,👨👨👨👨,"[':man:', ':man:', ':man:', ':man:']",Reduplication,COMMONNESS
thick soup,🍲🍲🍲,"[':pot_of_food:', ':pot_of_food:', ':pot_of_food:']",Reduplication,CONSISTENCY
severe meltdown,☢️☢️,"[':radioactive:', ':radioactive:']",Reduplication,CRISIS
thick marinade,🥫🥫,"[':canned_food:', ':canned_food:']",Reduplication,CONSISTENCY
slight variation,🔅🔅,"[':dim_button:', ':dim_button:']",Reduplication,DEGREE
profound bond,🤝🤝,"[':handshake:', ':handshake:']",Reduplication,DEPTH
massive difference,🔀🔀,"[':twisted_rightwards_arrows:', ':twisted_rightwards_arrows:']",Reduplication,DEGREE
clear evidence,🔎🔎,"[':magnifying_glass_tilted_right:', ':magnifying_glass_tilted_right:']",Reduplication,CLARITY
deep pity,🥺🥺,"[':pleading_face:', ':pleading_face:']",Reduplication,EMOTIONALITY
overhead mark,🔼🔼,"[':upwards_button:', ':upwards_button:']",Reduplication,POSITION
lavish tip,🪙🪙,"[':coin:', ':coin:']",Reduplication,GENEROSITY
secret yearning,🤫🤫,"[':shushing_face:', ':shushing_face:']",Reduplication,INWARDNESS
bountiful donation,🎉🎉,"[':party_popper:', ':party_popper:']",Reduplication,GENEROSITY
small amount,➖➖,"[':heavy_minus_sign:', ':heavy_minus_sign:']",Reduplication,QUANTITY
miniature figure,🧍🧍,"[':person_standing:', ':person_standing:']",Reduplication,SIZE
heavy spread,🧀🧀,"[':cheese_wedge:', ':cheese_wedge:']",Reduplication,CONSISTENCY
emergency shutdown,🛑🛑,"[':stop_sign:', ':stop_sign:']",Reduplication,CRISIS
top spot,🔝🔝,"[':TOP_arrow:', ':TOP_arrow:']",Reduplication,POSITION
heavy anchor,⚓⚓,"[':anchor:', ':anchor:']",Reduplication,WEIGHT
malevolent force,👿👿,"[':angry_face_with_horns:', ':angry_face_with_horns:']",Reduplication,EVIL
huge mountain,🏔️🏔️,"[':snow-capped_mountain:', ':snow-capped_mountain:']",Reduplication,SIZE
far corner,🕍🕍,"[':synagogue:', ':synagogue:']",Reduplication,DISTANCE
ongoing trend,📈📈,"[':chart_increasing:', ':chart_increasing:']",Reduplication,CONTINUITY
colossal building,🏠🏠,"[':house:', ':house:']",Reduplication,SIZE
warm beverage,☕☕,"[':hot_beverage:', ':hot_beverage:']",Reduplication,TEMPERATURE
urgent call,📞📞,"[':telephone_receiver:', ':telephone_receiver:']",Reduplication,IMMEDIACY
slim portfolio,💼💼,"[':briefcase:', ':briefcase:']",Reduplication,WEIGHT
brimming glass,🍷🍷,"[':wine_glass:', ':wine_glass:']",Reduplication,FULLNESS
lukewarm bath,🛁🛁,"[':bathtub:', ':bathtub:']",Reduplication,TEMPERATURE
teeming crowd,👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,FULLNESS
faint echo,🌬️🌬️,"[':wind_face:', ':wind_face:']",Reduplication,VOLUME
viscous syrup,🍯🍯,"[':honey_pot:', ':honey_pot:']",Reduplication,CONSISTENCY
significant impact,💥💥,"[':collision:', ':collision:']",Reduplication,DEGREE
munificent bonus,💎💎,"[':gem_stone:', ':gem_stone:']",Reduplication,GENEROSITY
instant boost,🚀🚀,"[':rocket:', ':rocket:']",Reduplication,IMMEDIACY
a handful,✋✋,"[':raised_hand:', ':raised_hand:']",Reduplication,QUANTITY
quiet hum,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,VOLUME
internal conflict,🤯🤯,"[':exploding_head:', ':exploding_head:']",Reduplication,INWARDNESS
dark prophecy,🔯🔯,"[':dotted_six-pointed_star:', ':dotted_six-pointed_star:']",Reduplication,EVIL
soaring height,☁️☁️,"[':cloud:', ':cloud:']",Reduplication,HEIGHT
decisive step,👣👣,"[':footprints:', ':footprints:']",Reduplication,CRITICALITY
ongoing story,📚📚,"[':books:', ':books:']",Reduplication,CONTINUITY
profound reading,📖📖,"[':open_book:', ':open_book:']",Reduplication,DEPTH
jam-packed venue,🏘️🏘️,"[':houses:', ':houses:']",Reduplication,FULLNESS
malicious code,🦠🦠,"[':microbe:', ':microbe:']",Reduplication,EVIL
gooey mixture,🧈🧈,"[':butter:', ':butter:']",Reduplication,CONSISTENCY
smooth filling,🥟🥟,"[':dumpling:', ':dumpling:']",Reduplication,CONSISTENCY
personal realization,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,INWARDNESS
nefarious plan,💀💀,"[':skull:', ':skull:']",Reduplication,EVIL
minimum load,📉📉,"[':chart_decreasing:', ':chart_decreasing:']",Reduplication,QUANTITY
immediate push,📤📤,"[':outbox_tray:', ':outbox_tray:']",Reduplication,IMMEDIACY
constant cycle,🔄🔄,"[':repeat:', ':repeat:']",Reduplication,CONTINUITY
generous heart,❤️❤️,"[':red_heart:', ':red_heart:']",Reduplication,GENEROSITY
massive ship,🚢🚢,"[':ship:', ':ship:']",Reduplication,SIZE
regular supply,📦📦,"[':package:', ':package:']",Reduplication,COMMONNESS
brilliant idea,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,LUMINOSITY
overhead limit,🔝🔝,"[':TOP_arrow:', ':TOP_arrow:']",Reduplication,HEIGHT
nonstop service,🛎️🛎️,"[':bellhop_bell:', ':bellhop_bell:']",Reduplication,CONTINUITY
glowing lantern,🏮🏮,"[':red_paper_lantern:', ':red_paper_lantern:']",Reduplication,LUMINOSITY
warm greeting,👋👋👋,"[':waving_hand:', ':waving_hand:', ':waving_hand:']",Reduplication,EMOTIONALITY
solid shield,🛡️🛡️,"[':shield:', ':shield:']",Reduplication,THICKNESS
clear solution,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,CLARITY
hearty support,🙌🙌,"[':raising_hands:', ':raising_hands:']",Reduplication,GENEROSITY
brown earth,🟫🟫,"[':brown_square:', ':brown_square:']",Reduplication,COLOR
burst of anger,😠😠,"[':angry_face:', ':angry_face:']",Reduplication,EMOTIONALITY
extreme focus,🎯🎯,"[':bullseye:', ':bullseye:']",Reduplication,DEGREE
vital piece,🧩🧩,"[':puzzle_piece:', ':puzzle_piece:']",Reduplication,CRITICALITY
big tipper,💸💸💸,"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",Reduplication,GENEROSITY
immediate influence,🙇🏻‍♀️🙇🏻‍♀️,"[':woman_bowing_light_skin_tone:', ':woman_bowing_light_skin_tone:']",Reduplication,IMMEDIACY
low sun,🌅🌅🌅,"[':sunrise:', ':sunrise:', ':sunrise:']",Reduplication,HEIGHT
imperative vote,🗳️🗳️,"[':ballot_box_with_ballot:', ':ballot_box_with_ballot:']",Reduplication,CRITICALITY
urgent evacuation,🚨🚨,"[':police_car_light:', ':police_car_light:']",Reduplication,CRISIS
scant resources,🔅🔅,"[':dim_button:', ':dim_button:']",Reduplication,QUANTITY
steamy sauna,🧖‍♂️🧖‍♂️,"[':man_in_steamy_room:', ':man_in_steamy_room:']",Reduplication,TEMPERATURE
far side,⤴️⤴️,"[':arrow_pointing_up_right:', ':arrow_pointing_up_right:']",Reduplication,DISTANCE
everyday meal,🍽️🍽️,"[':fork_and_knife_with_plate:', ':fork_and_knife_with_plate:']",Reduplication,COMMONNESS
deep emotion,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,DEPTH
melancholic feeling,😞😞,"[':disappointed_face:', ':disappointed_face:']",Reduplication,EMOTIONALITY
back seat,💺💺,"[':seat:', ':seat:']",Reduplication,POSITION
overabundance,🔔🔔,"[':bell:', ':bell:']",Reduplication,QUANTITY
moderate effort,⚖️⚖️,"[':balance_scale:', ':balance_scale:']",Reduplication,DEGREE
thick fog,🌫️🌫️🌫️,"[':fog:', ':fog:', ':fog:']",Reduplication,THICKNESS
massive explosion,💥💥,"[':collision:', ':collision:']",Reduplication,SIZE
far journey,✈️✈️,"[':airplane:', ':airplane:']",Reduplication,DISTANCE
rich contribution,🏆🏆,"[':trophy:', ':trophy:']",Reduplication,GENEROSITY
packed stadium,🏟️🏟️,"[':stadium:', ':stadium:']",Reduplication,FULLNESS
tiny particle,🔬🔬,"[':microscope:', ':microscope:']",Reduplication,SIZE
big group,👬👬👬👬👬👬👬👬👬👬👬,"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE
overflowing cup,☕☕,"[':hot_beverage:', ':hot_beverage:']",Reduplication,FULLNESS
thin layer,📄📄,"[':page_facing_up:', ':page_facing_up:']",Reduplication,THICKNESS
common language,💬💬,"[':speech_balloon:', ':speech_balloon:']",Reduplication,COMMONNESS
dark ritual,🔮🔮,"[':crystal_ball:', ':crystal_ball:']",Reduplication,EVIL
great wave,🌊🌊,"[':water_wave:', ':water_wave:']",Reduplication,SIZE
distance run,🏃🏃,"[':person_running:', ':person_running:']",Reduplication,DISTANCE
fundamental rule,📏📏,"[':straight_ruler:', ':straight_ruler:']",Reduplication,CRITICALITY
regular customer,🧍🧍,"[':person_standing:', ':person_standing:']",Reduplication,COMMONNESS
sky-high price,💲💲,"[':heavy_dollar_sign:', ':heavy_dollar_sign:']",Reduplication,HEIGHT
long haul,🚛🚛,"[':articulated_lorry:', ':articulated_lorry:']",Reduplication,DISTANCE
internal sense,💭💭,"[':thought_balloon:', ':thought_balloon:']",Reduplication,INWARDNESS
unclear action,❓❓❓,"[':red_question_mark:', ':red_question_mark:', ':red_question_mark:']",Reduplication,CLARITY
critical mass,💹💹,"[':chart_increasing_with_yen:', ':chart_increasing_with_yen:']",Reduplication,CRITICALITY
swollen river,🌊🌊,"[':water_wave:', ':water_wave:']",Reduplication,FULLNESS
soul searching,🕊️🕊️,"[':dove:', ':dove:']",Reduplication,INWARDNESS
substantial insight,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,DEPTH
dense fog,🌫️🌫️🌫️,"[':fog:', ':fog:', ':fog:']",Reduplication,THICKNESS
puzzling statement,❓️❓️❓️❓️,"[':red_question_mark:', '', ':red_question_mark:', '', ':red_question_mark:', '', ':red_question_mark:', '']",Reduplication,CLARITY
primary location,📍📍,"[':round_pushpin:', ':round_pushpin:']",Reduplication,POSITION
vile presence,🐍🐍,"[':snake:', ':snake:']",Reduplication,EVIL
overflowing bowl,🥣🥣,"[':bowl_with_spoon:', ':bowl_with_spoon:']",Reduplication,FULLNESS
lofty tower,🗼🗼,"[':tokyo_tower:', ':tokyo_tower:']",Reduplication,HEIGHT
essential link,🔗🔗,"[':link:', ':link:']",Reduplication,CRITICALITY
grand palace,🏰🏰,"[':castle:', ':castle:']",Reduplication,SIZE
persistent rumor,🗣️🗣️,"[':speaking_head:', ':speaking_head:']",Reduplication,CONTINUITY
internal mechanism,⚙️⚙️⚙️,"[':gear:', ':gear:', ':gear:']",Reduplication,POSITION
steady supply,💧💧,"[':droplet:', ':droplet:']",Reduplication,CONTINUITY
perpetual motion,🔁🔁,"[':repeat_single_button:', ':repeat_single_button:']",Reduplication,CONTINUITY
sonorous chant,🔔🔔,"[':bell:', ':bell:']",Reduplication,VOLUME
big group,🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Reduplication,SIZE
individual doubt,❓❓,"[':question_mark:', ':question_mark:']",Reduplication,INWARDNESS
robust barrier,🚧🚧,"[':construction:', ':construction:']",Reduplication,THICKNESS
clear viewpoint,👀👀,"[':eyes:', ':eyes:']",Reduplication,CLARITY
uplifted spirit,💫💫,"[':dizzy:', ':dizzy:']",Reduplication,HEIGHT
bright sun,☀️☀️,"[':sun:', ':sun:']",Reduplication,LUMINOSITY
imminent danger,🔥🔥,"[':fire:', ':fire:']",Reduplication,CRISIS
thick cream,🍶🍶,"[':sake:', ':sake:']",Reduplication,THICKNESS
bulky padding,💺💺,"[':seat:', ':seat:']",Reduplication,THICKNESS
maximum capacity,📈📈,"[':chart_increasing:', ':chart_increasing:']",Reduplication,QUANTITY
outlying post,🏰🏰,"[':castle:', ':castle:']",Reduplication,DISTANCE
abundant grant,🏦🏦,"[':bank:', ':bank:']",Reduplication,GENEROSITY
mild climate,🌤️🌤️,"[':sun_behind_small_cloud:', ':sun_behind_small_cloud:']",Reduplication,TEMPERATURE
scorching sun,🥵🥵,"[':hot_face:', ':hot_face:']",Reduplication,TEMPERATURE
blinding flash,📸📸,"[':camera_with_flash:', ':camera_with_flash:']",Reduplication,LUMINOSITY
cursed object,📿📿,"[':prayer_beads:', ':prayer_beads:']",Reduplication,EVIL
remote location,🗺️🗺️,"[':world_map:', ':world_map:']",Reduplication,DISTANCE
remote island,🏝️🏝️,"[':desert_island:', ':desert_island:']",Reduplication,DISTANCE
lofty aspiration,🏆🏆,"[':trophy:', ':trophy:']",Reduplication,HEIGHT
thick crust,🍕🍕,"[':pizza:', ':pizza:']",Reduplication,THICKNESS
intense shock,😲😲,"[':astonished_face:', ':astonished_face:']",Reduplication,EMOTIONALITY
light load,🧺🧺,"[':basket:', ':basket:']",Reduplication,WEIGHT
fine membrane,🥚🥚,"[':egg:', ':egg:']",Reduplication,THICKNESS
instant action,⚡⚡,"[':high_voltage:', ':high_voltage:']",Reduplication,IMMEDIACY
left corner,⬅️⬅️,"[':left_arrow:', ':left_arrow:']",Reduplication,POSITION
completely occupied,💺💺,"[':seat:', ':seat:']",Reduplication,FULLNESS
infinite well,⛲⛲,"[':fountain:', ':fountain:']",Reduplication,DEPTH
pivotal moment,🌀🌀,"[':cyclone:', ':cyclone:']",Reduplication,CRITICALITY
thick fog,🌫️🌫️,"[':fog:', ':fog:']",Reduplication,THICKNESS
remote vantage,🔭🔭,"[':telescope:', ':telescope:']",Reduplication,DISTANCE
deep sorrow,😭😭,"[':loudly_crying_face:', ':loudly_crying_face:']",Reduplication,DEPTH
swift closure,🔐🔐,"[':closed_lock_with_key:', ':closed_lock_with_key:']",Reduplication,IMMEDIACY
full plate,🍽️🍽️,"[':fork_and_knife_with_plate:', ':fork_and_knife_with_plate:']",Reduplication,FULLNESS
normal pace,🏃🏃,"[':person_running:', ':person_running:']",Reduplication,COMMONNESS
deep sleep,😴😴😴,"[':sleeping_face:', ':sleeping_face:', ':sleeping_face:']",Reduplication,DEPTH
tiny footprint,👣👣,"[':footprints:', ':footprints:']",Reduplication,SIZE
big voice,🤬🤬,"[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']",Reduplication,VOLUME
boiling point,♨️♨️,"[':hot_springs:', ':hot_springs:']",Reduplication,TEMPERATURE
heavy burden,🏋️🏋️,"[':person_lifting_weights:', ':person_lifting_weights:']",Reduplication,WEIGHT
deep sigh,😮‍💨😮‍💨,"[':face_exhaling:', ':face_exhaling:']",Reduplication,DEPTH
green signal,🟩🟩,"[':green_square:', ':green_square:']",Reduplication,COLOR
deep resonance,🔔🔔,"[':bell:', ':bell:']",Reduplication,DEPTH
critical element,🚨🚨,"[':police_car_light:', ':police_car_light:']",Reduplication,DISPENSABILITY
fully loaded,🔋🔋,"[':battery:', ':battery:']",Reduplication,FULLNESS
huge amount,➕➕,"[':heavy_plus_sign:', ':heavy_plus_sign:']",Reduplication,QUANTITY
gray area,⚪⚫,"[':white_circle:', ':black_circle:']",Reduplication,COLOR
enduring mountain,⛰️🌐,"[':mountain:', ':globe_with_meridians:']",Semantic list,STRENGTH
domestic animal,🏠🐄🐐🦮🐔🏠,"[':house:', ':cow:', ':goat:', ':guide_dog:', ':chicken:', ':house:']",Semantic list,TAMENESS
short pigtails,👧🏷️,"[':girl:', ':label:']",Semantic list,LENGTH
starry path,🌌🌠,"[':milky_way:', ':shooting_star:']",Semantic list,LUMINOSITY
mid-length style,👱🪞,"[':person_blond_hair:', ':mirror:']",Semantic list,LENGTH
mild rabbit,🐰🥬,"[':rabbit_face:', ':leafy_green:']",Semantic list,TAMENESS
giggling glee,😆💥,"[':grinning_squinting_face:', ':collision:']",Semantic list,EMOTIONALITY
thick fog,🌫😶‍🌫️,"[':fog:', ':face_in_clouds:']",Semantic list,THICKNESS
steep cliff,🧗‍♂️🪨,"[':man_climbing:', ':rock:']",Semantic list,HEIGHT
bright sun,🌟🌤🌇🌅,"[':glowing_star:', ':sun_behind_small_cloud:', ':sunset:', ':sunrise:']",Semantic list,LUMINOSITY
noisy protest,📣✊,"[':megaphone:', ':raised_fist:']",Semantic list,VOLUME
fresh laundry,🧺🌬️,"[':basket:', ':wind_face:']",Semantic list,CLEANNESS
robust wall,🧱🔨,"[':brick:', ':hammer:']",Semantic list,THICKNESS
shadowy corridor,🌑🚪,"[':new_moon:', ':door:']",Semantic list,EVIL
amplified echo,🎤🔊,"[':microphone:', ':loud_sound:']",Semantic list,VOLUME
lighthearted joke,😄🤣,"[':grinning_face_with_smiling_eyes:', ':rolling_on_the_floor_laughing:']",Semantic list,PLEASANTNESS
advanced reading,📚🔎,"[':books:', ':magnifying_glass_tilted_right:']",Semantic list,INTELLIGENCE
full life,🎑🏔️🌄,"[':moon_viewing_ceremony:', ':snow-capped_mountain:', ':sunrise_over_mountains:']",Semantic list,FULLNESS
unbounded plain,🌄🏞️,"[':sunrise_over_mountains:', ':national_park:']",Semantic list,SIZE
vigorous athlete,🏋️‍♂️⚡,"[':man_lifting_weights:', ':high_voltage:']",Semantic list,STRENGTH
polished car,🚗🧼,"[':automobile:', ':soap:']",Semantic list,CLEANNESS
distinct path,🛣️➡️,"[':motorway:', ':right_arrow:']",Semantic list,CLARITY
titanium frame,🔩🔧,"[':nut_and_bolt:', ':wrench:']",Semantic list,STRENGTH
domestic chore,🧹🧼🧴😷,"[':broom:', ':soap:', ':lotion_bottle:', ':face_with_medical_mask:']",Semantic list,DOMESTICITY
deep concentration,🤔🧐,"[':thinking_face:', ':face_with_monocle:']",Semantic list,DEPTH
foreign city,🇨🇿🇬🇪🇬🇭,"[':Czechia:', ':Georgia:', ':Ghana:']",Semantic list,UNFAMILIARITY
chilly storage,🧊🚚,"[':ice_cube:', ':delivery_truck:']",Semantic list,TEMPERATURE
firm handshake,🤝💪,"[':handshake:', ':flexed_biceps:']",Semantic list,STRENGTH
domestic animal,🐶🐱🐰,"[':dog_face:', ':cat_face:', ':rabbit_face:']",Semantic list,TAMENESS
idyllic life,🎉🙌💯👨‍👩‍👧‍👦,"[':party_popper:', ':raising_hands:', ':hundred_points:', ':family_man_woman_girl_boy:']",Semantic list,PLEASANTNESS
strategic planner,🗺️🧮,"[':world_map:', ':abacus:']",Semantic list,INTELLIGENCE
domestic animal,🏠🐶🐱,"[':house:', ':dog_face:', ':cat_face:']",Semantic list,TAMENESS
extreme anxiety,😰⚡,"[':anxious_face_with_sweat:', ':high_voltage:']",Semantic list,EMOTIONALITY
big city,🌇🌁🌆🏙🌃🗽,"[':sunset:', ':foggy:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']",Semantic list,SIZE
upper deck,🛳️⤴️,"[':passenger_ship:', ':arrow_up_small:']",Semantic list,HEIGHT
intelligent life,🧍🧍‍♀️🧍‍♂️,"[':person_standing:', ':woman_standing:', ':man_standing:']",Semantic list,INTELLIGENCE
bottom drawer,🗄️⬇️,"[':file_cabinet:', ':down_arrow:']",Semantic list,POSITION
villainous laugh,😈😆,"[':smiling_face_with_horns:', ':grinning_squinting_face:']",Semantic list,EVIL
cordial mouse,🐭🏠,"[':mouse_face:', ':house:']",Semantic list,TAMENESS
prominent label,🏷️👁️,"[':label:', ':eye:']",Semantic list,CLARITY
malicious grin,😏😈,"[':smirking_face:', ':smiling_face_with_horns:']",Semantic list,EVIL
brilliant scientist,👨‍🔬🔬,"[':man_scientist:', ':microscope:']",Semantic list,INTELLIGENCE
ample food,🍙🍚🍘🍜,"[':rice_ball:', ':cooked_rice:', ':rice_cracker:', ':steaming_bowl:']",Semantic list,QUANTITY
low-energy wave,👋😴,"[':waving_hand:', ':sleeping_face:']",Semantic list,DULLNESS
big voice,📢📣,"[':loudspeaker:', ':megaphone:']",Semantic list,VOLUME
dark purpose,👿👹👺😏,"[':angry_face_with_horns:', ':ogre:', ':goblin:', ':smirking_face:']",Semantic list,EVIL
sky tower,🗼🌥️,"[':tokyo_tower:', ':sun_behind_large_cloud:']",Semantic list,HEIGHT
glossy surface,🔆🪞,"[':bright_button:', ':mirror:']",Semantic list,LUMINOSITY
internal organ,🫀🫁,"[':anatomical_heart:', ':lungs:']",Semantic list,POSITION
plump pillow,🛏️💤,"[':bed:', ':zzz:']",Semantic list,THICKNESS
neat attire,👔✨,"[':necktie:', ':sparkles:']",Semantic list,CLEANNESS
smart coder,💻🧠,"[':laptop:', ':brain:']",Semantic list,INTELLIGENCE
cheery greeting,🙋‍♀️😄,"[':woman_raising_hand:', ':grinning_face_with_smiling_eyes:']",Semantic list,PLEASANTNESS
resounding exclamation,‼️🔊,"[':double_exclamation_mark:', ':loud_sound:']",Semantic list,VOLUME
average people,🙎‍♂️🙎‍♀️,"[':man_pouting:', ':woman_pouting:']",Semantic list,COMMONNESS
lukewarm tea,🍵♨️,"[':teacup_without_handle:', ':hot_springs:']",Semantic list,TEMPERATURE
grateful sigh,😇💨,"[':smiling_face_with_halo:', ':dashing_away:']",Semantic list,PLEASANTNESS
resilient spirit,🔄💪,"[':counterclockwise_arrows_button:', ':flexed_biceps:']",Semantic list,STRENGTH
grave silence,⚱️🤐,"[':funeral_urn:', ':zipper_mouth_face:']",Semantic list,DEPTH
short braid,👩‍🦲💇‍♀️,"[':woman_bald:', ':woman_getting_haircut:']",Semantic list,LENGTH
immense guilt,😓🌑,"[':sweat:', ':new_moon:']",Semantic list,DEPTH
dull mood,😑🥱,"[':expressionless_face:', ':yawning_face:']",Semantic list,DULLNESS
curious student,👨‍🎓❓,"[':man_student:', ':question_mark:']",Semantic list,INTELLIGENCE
middle ground,🕳️🧍,"[':hole:', ':person_standing:']",Semantic list,POSITION
clear vision,👀🔎,"[':eyes:', ':magnifying_glass_tilted_left:']",Semantic list,CLARITY
admiring glance,😊💗,"[':smiling_face_with_smiling_eyes:', ':heart_decoration:']",Semantic list,EMOTIONALITY
satisfied mind,😀💭,"[':grinning_face:', ':thought_balloon:']",Semantic list,PLEASANTNESS
domestic happiness,👧😁😂,"[':girl:', ':beaming_face_with_smiling_eyes:', ':face_with_tears_of_joy:']",Semantic list,DOMESTICITY
rain-soaked city,🌆☔,"[':cityscape_at_dusk:', ':umbrella_with_rain_drops:']",Semantic list,WETNESS
unspecified persons,🧍‍♂️🧑‍🦳,"[':man_standing:', ':person_white_hair:']",Semantic list,COMMONNESS
tight grip,✊🔒,"[':raised_fist:', ':locked:']",Semantic list,STRENGTH
expansive estate,🏰🌄,"[':castle:', ':sunrise_over_mountains:']",Semantic list,SIZE
foreign nation,🧳🇮🇴🇧🇦🇬🇾🇬🇶🎌🇬🇪,"[':luggage:', ':British_Indian_Ocean_Territory:', ':Bosnia_&_Herzegovina:', ':Guyana:', ':Equatorial_Guinea:', ':crossed_flags:', ':Georgia:']",Semantic list,FOREIGNNESS
idyllic spot,🖼️🌄,"[':framed_picture:', ':sunrise_over_mountains:']",Semantic list,PERFECTION
heavy block,📦💪,"[':package:', ':flexed_biceps:']",Semantic list,STRENGTH
fresh towel,🧻☁️,"[':roll_of_paper:', ':cloud:']",Semantic list,CLEANNESS
general audience,👀👥,"[':eyes:', ':busts_in_silhouette:']",Semantic list,COMMONNESS
domestic animal,🏠🐶🐱😍,"[':house:', ':dog_face:', ':cat_face:', ':smiling_face_with_heart-eyes:']",Semantic list,TAMENESS
internal organ,🧠👀🫀,"[':brain:', ':eyes:', ':anatomical_heart:']",Semantic list,POSITION
